GVK_ID	DRUG_NAME	LAST_SIGNIFICANT_UPDATE	STATUS	REASON_WITHDRAWN	REMARKS	DRUG_DOSE	HIGHEST_PHASE_TRIAL	MODE_OF_ACTION	DATABASE_NAME	HIGHEST_PHASE_ALL	APPROVAL_DATE	STD_HIGHEST_PHASE_ALL	FLAG	COMPANY_NAME	GVK_ID_1	FLAG_1	APPROVAL_YEAR	LAST_SIGNIFICANT_UPDATE_YEAR
5910352	LONAPALENE	5/27/2002					Discontinued	5-Lipoxygenase inhibitor; Arachidonic acid antagonist	CCD	Discontinued - Psoriasis		Discontinued		ASTRAZENECA	5910352		1995	2002
5910371	SIBENADET	March 27, 2007					Discontinued	Beta-2 adrenergic receptor agonist; Dopamine receptor D2 agonist	CCD	Discontinued - Cardiovascular disease, Asthma, Chronic obstructive pulmonary disease; Phase 3 - Chronic obstructive pulmonary disease; Phase 2 - Chronic obstructive pulmonary disease; Phase 1 - Cardiovascular disease, Asthma		Discontinued; Phase III; Phase II; Phase I		ASTRAZENECA PHARMACEUTICALS	5910371		1995	2007
5911062	PRECLAMOL	10/30/2006					Phase II	Dopamine receptor D2 partial agonist	CCD	Phase II - Schizophrenia		Phase II		ASTRAZENECA	5911062		1995	2006
5911421	CB 300179	8/9/2000					No Development	Thymidylate synthase inhibitor	CCD	Discontinued - Cancer; No Development - Cancer		Discontinued; No Development		ASTRAZENECA	5911421		1995	2000
5911449	ZM 214888	9/23/1999					Discontinued	Thymidylate synthase inhibitor	CCD	Discontinued - Leukemia		Discontinued		ASTRAZENECA	5911449		1995	1999
5910681	INOGATRAN	August 16, 2005					Discontinued	Factor IIa antagonist; Platelet aggregation inhibitor; Coagulation inhibitor	CCD	Discontinued - Angina		Discontinued		ASTRA AB (ASTRAZENECA PLC)	5910681		1995	2005
5910681	INOGATRAN	August 16, 2005					Discontinued	Factor IIa antagonist; Platelet aggregation inhibitor; Coagulation inhibitor	CCD	Discontinued - Angina		Discontinued		ASTRA AB	5910681		1995	2005
5910688	SAMERIDINE	June 26, 2005		The compound had been discontinued because it did not meet the efficacy required in the clinic			Discontinued	Opioid receptor mu agonist	CCD	Discontinued - Topical anesthesia		Discontinued		ASTRA AB (ASTRAZENECA PLC)	5910688		1995	2005
5910688	SAMERIDINE	June 26, 2005		The compound had been discontinued because it did not meet the efficacy required in the clinic			Discontinued	Opioid receptor mu agonist	CCD	Discontinued - Topical anesthesia		Discontinued		ASTRA AB	5910688		1995	2005
5910239	PONALRESTAT	10/6/1998					Discontinued	Aldose reductase inhibitor	CCD	Discontinued - Diabetic complications		Discontinued		ASTRAZENECA	5910239		1995	1998
5910397	PLEVITREXED	July 15, 2015					No Development	Thymidylate synthase inhibitor; Folate synthesis inhibitor	CCD	No Development - Gastric cancer, Ovarian cancer, Pancreatic cancer; Phase II - Solid tumor, Stomach tumor; Discontinued - Colorectal tumor, Solid tumor, Pancreas tumor, Stomach tumor		No Development; Phase II; Discontinued		ASTRAZENECA PLC	5910397		1995	2015
5911106	ICI 207828	9/6/2000					Discontinued	Antihypertensive; Diuretic	CCD	Discontinued - Hypertension		Discontinued		ASTRAZENECA	5911106		1995	2000
5911295	FPL 66096	1/13/2004					Discontinued	P2T receptor antagonist; Adenylate cyclase modulator; Adenosine receptor antagonist; Platelet aggregation inhibitor; Glycoprotein IIb/IIIa fibrinogen receptor antagonist; Coagulation inhibitor	CCD	Discontinued - Thrombosis		Discontinued		ASTRAZENECA R&D CHARNWOOD	5911295		1995	2004
5910811	ZD 1611	October 23, 2007					Discontinued	Endothelin A receptor antagonist	CCD	Discontinued - Chronic Obstructive Pulmonary Disease, Hypertension, Cardiovascular disease, Heart disease		Discontinued		ASTRAZENECA PLC	5910811		1995	2007
5911997	UH 232	June 15, 2015					Discontinued	Dopamine receptor D3 antagonist	CCD	Discontinued - Psychotic disorder; Phase I - Psychotic disorder		Discontinued; Phase I		ASTRA AB	5911997		1995	2015
5911998	AJ 76	June 15, 2015					No Development	Dopamine receptor D3 antagonist; Dopamine receptor D2 agonist	CCD	No Development - Schizophrenia; Preclinical - Schizophrenia		No Development; Preclinical		ASTRA ARCUS AB	5911998		1995	2015
5911470	BCH-2687	1/27/2003		Discontinued due to trial results which were not sufficiently strong to justify large-scale phase II studies			Discontinued	Opioid receptor mu 1 agonist	CCD	Discontinued - Pain		Discontinued		ASTRAZENECA	5911470		1995	2003
5912184	AH 13205	2/15/2006					Discontinued	Prostaglandin EP2 receptor agonist	CCD	Discontinued - Asthma		Discontinued		ASTRA R&D CHARNWOOD	5912184		1995	2006
5910703	ROBALZOTAN	October 08, 2009					Discontinued	5-Hydroxytryptamine 1A receptor antagonist	CCD	Discontinued - Anxiety disorders, Major depressive disorder		Discontinued		ASTRA ZENECA PLC	5910703		1995	2009
5910706	ZD 6169	August 6, 2013					Discontinued	Potassium channel agonist	CCD	Discontinued - Urinary incontinence; Phase II - Urinary incontinence		Discontinued; Phase II		ASTRA ZENECA	5910706		1995	2013
5910706	ZD 6169	August 6, 2013					Discontinued	Potassium channel agonist	CCD	Discontinued - Urinary incontinence; Phase II - Urinary incontinence		Discontinued; Phase II		ASTRAZENECA PLC	5910706		1995	2013
5910710	ZD 9379	August 7, 2013					Discontinued	Ionotropic glutamate receptor NMDA antagonist	CCD	Discontinued - Ischemic stroke, Pain; Phase II - Ischemic stroke, Pain		Discontinued; Phase II		ASTRAZENECA PLC	5910710		1995	2013
5910721	ZD 8321	3/24/2004					Discontinued	Neutrophil elastase inhibitor	CCD	Phase II - Respiratory distress syndrome; Phase I - chronic obstructive pulmonary disease, Peripheral vascular disease; Preclinical - Bronchitis, Cardiac failure, Peripheral vascular disease, Pulmonary disease, Respiratory distress syndrome; Discontinued - Bronchitis, Cardiac failure, Peripheral vascular disease, Pulmonary disease, Respiratory distress syndrome		Phase II; Phase I; Preclinical; Discontinued		ASTRAZENECA PLC	5910721		1995	2004
5910722	ROFLEPONIDE	August 7, 2013		Development of this formulation had been discontinued as the findings in the phase II studies showed that the product was not substantially better than the marketed intranasal steroid medications			Discontinued	Steroid hormone receptor agonist	CCD	Discontinued - Asthma, Inflammatory bowel disease, Rhinitis; Phase II - Asthma, Rhinitis; Phase I - Inflammatory bowel disease		Discontinued; Phase II; Phase I		ASTRAZENECA PLC	5910722		1995	2013
5910279	RACLOPRIDE	December 09, 2009					Discontinued	Dopamine receptor D2 antagonist; Antipsychotic	CCD	Discontinued - Psychotic disorder		Discontinued		ASTRAZENECA	5910279		1995	2009
5910279	RACLOPRIDE	December 09, 2009					Discontinued	Dopamine receptor D2 antagonist; Antipsychotic	CCD	Discontinued - Psychotic disorder		Discontinued		ASTRA AB (ASTRAZENECA PLC)	5910279		1995	2009
5910289	ISAMOLTAN	4/7/1999					Discontinued	Beta adrenergic receptor antagonist; 5-Hydroxytryptamine 1B receptor antagonist	CCD	Discontinued - Anxiety disorders		Discontinued; Phase III		ASTRAZENECA	5910289		1995	1999
5911158	ICI 147798	9/6/2000					Discontinued	Beta adrenergic receptor antagonist	CCD	Discontinued - Hypertension		Discontinued		ASTRAZENECA	5911158		1995	2000
5910827	AZD 2563	November 18, 2004					Discontinued	Protein 30S ribosomal subunit inhibitor	CCD	Discontinued - Gram positive bacterium infection		Discontinued		ASTRAZENECA PLC	5910827		1995	2004
5912059	GEA 857	4/7/1999					No Development	Potassium channel blocker	CCD	No Development - Cognition disorder, Depression		No Development		ASTRAZENECA	5912059		1995	1999
5911502	ICI 215918	4/7/1999					Discontinued	Aldose reductase inhibitor	CCD	Discontinued - Diabetic complications		Discontinued		ASTRAZENECA	5911502		1995	1999
5911537	FPL 13210	9/21/2000					Discontinued	Antiarrhythmic	CCD	Discontinued - Arrhythmias		Discontinued		ASTRAZENECA	5911537		1995	2000
5910167	ZD 7114	July 06, 2007					Discontinued	Energy metabolism modulator; Beta-3 adrenergic receptor agonist	CCD	Discontinued - Obesity, Non-insulin dependent diabetes; Preclinical - Obesity, Non-insulin dependent diabetes		Discontinued; Preclinical		ASTRAZENECA	5910167		1995	2007
5912030	FPL 66564	4/15/2002					No Development	Angiotensin converting enzyme inhibitor	CCD	No Development - Hypertension		No Development		ASTRAZENECA R&D CHARNWOOD	5912030		1995	2002
5910583	P 1075	1/15/2003		Development was discontinued following disappointing clinical results			Discontinued	Sarcolemmal ATP-sensitive K (sarcKATP) channel activator	CCD	Discontinued - Alopecia, Cardiovascular disease; Discontinued - Arrhythmias, Ischemic heart disorders		Discontinued		ASTRAZENECA	5910583		1995	2003
5910606	FLAVODILOL	September 13, 2013					Discontinued	Beta adrenergic receptor antagonist	CCD	Discontinued - Hypertension; Phase II - Hypertension		Discontinued; Phase II		ASTRA ZENECA	5910606		1995	2013
5910618	FOSOPAMINE	9/6/2000					Discontinued	Dopamine receptor D1 agonist	CCD	Discontinued - Hypertension		Discontinued		ASTRA ZENECA	5910618		1995	2000
5910332	CEFCANEL DALOXATE	July 15, 2013					Discontinued	Cell wall synthesis inhibitor	CCD	Discontinued - Bacterial infection; Phase III - Bacterial infection		Discontinued; Phase III		ASTRAZENECA	5910332		1995	2013
5910332	CEFCANEL DALOXATE	July 15, 2013					Discontinued	Cell wall synthesis inhibitor	CCD	Discontinued - Bacterial infection; Phase III - Bacterial infection		Discontinued; Phase III		ASTRA AB	5910332		1995	2013
5911036	U 27391	8/12/1994					Discontinued	Matrix metalloproteinase inhibitor; Collagenase inhibitor	CCD	Discontinued - Rheumatoid arthritis		Discontinued		ASTRAZENECA	5911036		1995	1994
5911180	ICI 206970	9/6/2000					Discontinued	Calcium channel blocker	CCD	Discontinued - Heart failure, Hypertension		Discontinued		ASTRAZENECA	5911180		1995	2000
5910875	ICI 185282	9/6/2000					Discontinued	Thromboxane A2 receptor antagonist	CCD	Discontinued - Arrhythmias		Discontinued		ASTRAZENECA	5910875		1995	2000
5915032	ICI 222155	7/4/1999					No Development	Aldose reductase inhibitor	CCD	No Development - Diabetic neuropathy		No Development		ASTRAZENECA	5915032		1995	1999
5914445	H 39484	1/5/2006					No Development	Neuropeptide Y receptor 1 antagonist	CCD	No Development - Heart disease, Hypertension		No Development		ASTRAZENECA PLC	5914445		1995	2006
5914638	NU-2058	2/16/2007					Preclinical	CDK1 inhibitor; CDK2 inhibitor	CCD	Preclinical - Cancer		Preclinical		ASTRAZENECA PLC	5914638		1995	2007
5914641	NU 6027	June 15, 2015					No Development	CDK1 inhibitor; CDK2 inhibitor	CCD	No Development - Cancer; Preclinical - Cancer		No Development; Preclinical		ASTRAZENECA PLC	5914641		1995	2015
5912759	FLA 57	4/7/1999					No Development	Dopamine beta hydroxylase inhibitor	CCD	No Development - Alcoholism		No Development		ASTRA ARCUS AB	5912759		1995	1999
5912760	HW 165	5/8/2002					No Development	Dopamine receptor agonist	CCD	No Development - Parkinson's disease, Schizophrenia, Psychosis		No Development		ASTRA AB	5912760		1995	2002
5914285	FPL 15765	7/4/1999					No Development	NMDA receptor antagonist	CCD	No Development - Pain		No Development		ASTRAZENECA	5914285		1995	1999
5914682	Q-85	8/29/2000					No Development	Hypoxia-selective agent	CCD	No Development - Cancer		No Development		ASTRAZENECA	5914682		1995	2000
5913101	AZD 0947	8/2/2006					Discontinued	Potassium channel activator	CCD	Discontinued - Overactive bladder		Discontinued; Phase II		ASTRAZENECA PLC	5913101		1995	2006
5913106	AZD-8129	11/8/2005					Discontinued	5-Hydroxytryptamine 1B receptor antagonist	CCD	Discontinued - Anxiety disorders; Major depressive disorder		Discontinued		ASTRAZENECA PLC	5913106		1995	2005
5913232	CEDIRANIB	March 28, 2016					Phase III	Vascular endothelial growth factor receptor Inhibitor	CCD	Phase III - OVARIAN CANCER; Discontinued - GLIOBLASTOMA, NON-SMALL CELL LUNG CANCER, COLORECTAL CARCINOMA		Phase III; Discontinued		ASTRAZENECA	5913232	APR16	1995	2016
5913232	CEDIRANIB	March 28, 2016					Phase III	Vascular endothelial growth factor receptor Inhibitor	CCD	Phase III - OVARIAN CANCER; Discontinued - GLIOBLASTOMA, NON-SMALL CELL LUNG CANCER, COLORECTAL CARCINOMA		Phase III; Discontinued		ASTRAZENECA PLC	5913232		1995	2016
5913232	CEDIRANIB	March 28, 2016					Phase III	Vascular endothelial growth factor receptor Inhibitor	CCD	Phase III - OVARIAN CANCER; Discontinued - GLIOBLASTOMA, NON-SMALL CELL LUNG CANCER, COLORECTAL CARCINOMA		Phase III; Discontinued		ASTRAZENECA PLC	5913232		1995	2016
5917904	AZD-1279	February 1, 2008					No Development	Antibacterial	CCD	No Development - Bacterial infection; Preclinical - Bacterial infection		No Development; Preclinical		ASTRAZENECA PLC	5917904		1995	2008
5914717	NAS 181	12/15/2005					No Development	5-Hydroxytryptamine 1B receptor antagonist	CCD	No Development - Major depressive disorder		No Development		ASTRAZENECA PLC	5914717		1995	2005
5910054	NITRONAPROXEN	January 28, 2015	PRESCRIPTION DRUG			Recommended doses are 375 mg and 750 mg	Launched	CYCLOOXYGENASE INHIBITOR; NITRIC OXIDE DONOR	DD	Launched - DUCHENNE MUSCULAR DYSTROPHY	September 11, 2013	Launched		ASTRAZENECA PLC	5910054		2013	2015
5913136	ZD 6126	June 15, 2015					Phase II	Angiogenesis inhibitor; Tubulin antagonist	CCD	Phase II - Solid tumour		Phase II		ASTRAZENECA PLC	5913136		1995	2015
5913630	UH 301	5/28/2002					No Development	5-Hydroxytryptamine 1A receptor antagonist	CCD	No Development - Anxiety disorders		No Development		ASTRAZENECA	5913630		1995	2002
5913636	2-BFI	4/3/2003					No Development	Imidazoline receptor agonist	CCD	No Development - Pain		No Development		ASTRAZENECA	5913636		1995	2003
5914201	H 142	7/4/1999					Discontinued	Renin inhibitor	CCD	Discontinued - Heart failure, Hypertension		Discontinued		ASTRAZENECA	5914201		1995	1999
5914202	H 29051	10/19/2004					No Development	Lipid peroxidation inhibitor	CCD	No Development - Myocardial infarction, Reperfusion injury		No Development		ASTRA HASSLE AB	5914202		1995	2004
5912887	TESAGLITAZAR	February 14, 2013					Discontinued	Peroxisome proliferator-activated receptor alpha agonist; Peroxisome proliferator-activated receptor gamma agonist	CCD	Discontinued - Type II diabetes mellitus		No Development; Discontinued		ASTRAZENECA PLC	5912887		1995	2013
5912888	DISUFENTON	2/22/2007					Discontinued	Free radical scavenger	CCD	Discontinued - Brain hemorrhage, Cerebrovascular ischemia, Neurodegenerative diseases		Discontinued		ASTRAZENECA PLC	5912888		1995	2007
5910148	REMACEMIDE	January 11, 2010					Discontinued	NMDA receptor antagonist	CCD	Phase 3 - Huntingtons chorea, Epilepsy; Phase 2 - Cerebrovascular ischemia, Huntingtons chorea, Parkinson's disease, Epilepsy; Discontinued - Alzheimer's disease, Cerebrovascular ischemia, Epilepsy, Huntingtons chorea, Parkinson's disease; Discovery - Alzheimer's disease, Huntingtons chorea		Phase III; Phase II; Discontinued; Discovery		ASTRAZENECA R&D CHARNWOOD	5910148		1995	2010
5910148	REMACEMIDE	January 11, 2010					Discontinued	NMDA receptor antagonist	CCD	Phase 3 - Huntingtons chorea, Epilepsy; Phase 2 - Cerebrovascular ischemia, Huntingtons chorea, Parkinson's disease, Epilepsy; Discontinued - Alzheimer's disease, Cerebrovascular ischemia, Epilepsy, Huntingtons chorea, Parkinson's disease; Discovery - Alzheimer's disease, Huntingtons chorea		Phase III; Phase II; Discontinued; Discovery		ASTRAZENECA PLC	5910148		1995	2010
5910148	REMACEMIDE	January 11, 2010					Discontinued	NMDA receptor antagonist	CCD	Phase 3 - Huntingtons chorea, Epilepsy; Phase 2 - Cerebrovascular ischemia, Huntingtons chorea, Parkinson's disease, Epilepsy; Discontinued - Alzheimer's disease, Cerebrovascular ischemia, Epilepsy, Huntingtons chorea, Parkinson's disease; Discovery - Alzheimer's disease, Huntingtons chorea		Phase III; Phase II; Discontinued; Discovery		ASTRAZENECA R & D CHARNWOOD	5910148		1995	2010
5910161	ALAPROCLATE	4/7/1999					Discontinued	5-Hydroxytryptamine transporter antagonist	CCD	Discontinued - Depression		Discontinued; Phase II		ASTRAZENECA	5910161		1995	1999
5913173	BANOXANTRONE	May 09, 2012					Discontinued	DNA topoisomerase II inhibitor	CCD	Discontinued - Cancer, Esophagus tumor, Acute lymphoblastic leukemia, Chronic lymphoid leukemia, Glioblastoma multiforme, Non-Hodgkin's lymphoma; Phase II - Chronic lymphocytic leukemia, Non-Hodgkin lymphoma, Brain tumor; Phase I - Solid tumor; Preclinical - Acute lymphoblastic leukemia		Discontinued; Phase II; Phase I; Preclinical		ASTRAZENECA PLC	5913173		1995	2012
5913686	BAFILOMYCIN A1	9/8/2000					No Development	Vacuolar H+ ATPase inhibitor	CCD	No Development - Cancer, Gastrointestinal disorders, Influenza virus infections, Postmenopausal osteoporosis		No Development		ASTRAZENECA	5913686		1995	2000
5913690	SUCCINOBUCOL	April 23, 2012					Discontinued	Vascular cell adhesion molecule 1 inhibitor	CCD	Discontinued - Atherosclerosis; Phase III - Atherosclerosis; Phase II - Restenosis; No Development - Hypercholesterolemia; Preclinical - Non-insulin dependent diabetes		Discontinued; Phase III; Phase II; No Development; Preclinical		ASTRAZENECA PLC	5913690		1995	2012
5914426	QUILOSTIGMINE	5/4/2002					Discontinued	Acetylcholinesterase inhibitor	CCD	Discontinued - Alzheimer's disease, Dementia		Discontinued		ASTRA AB	5914426		1995	2002
5914427	QX 314	3/28/2000					No Development	Sodium channel blocker	CCD	No Development - Pain		No Development		ASTRAZENECA	5914427		1995	2000
5913867	EBALZOTAN	3/5/2002					Discontinued	5-Hydroxytryptamine 1A receptor agonist	CCD	Discontinued - Major depressive disorder		Discontinued		ASTRA AB	5913867		1995	2002
5917853	AZD6703	2/8/2007					Discontinued	p38 MAP kinase inhibitor	CCD	Discontinued - Rheumatoid arthritis; Phase I - Rheumatoid arthritis		Discontinued; Phase I		ASTRAZENECA PLC	5917853		1995	2007
5917858	KU-58050	2/16/2007					Preclinical	ATM Kinase Inhibitor; Serine-threonine kinase receptor inhibitor	CCD	Preclinical - Cancer, Retrovirus infection		Preclinical		ASTRAZENECA PLC	5917858		1995	2007
5916050	SUSALIMOD	1/17/2002					No Development	TNF production inhibitor	CCD	No Development - Inflammatory bowel disease, Rheumatic disorders		No Development		ASTRAZENECA	5916050		1995	2002
5916808	LY 41	7/6/2001					No Development	5-Hydroxytryptamine 1A receptor agonist	CCD	No Development - Anxiety disorders, Depression		No Development		ASTRAZENECA	5916808		1995	2001
5916405	ALMOKALANT	7/13/1999		Discontinued on the basis of published results of a toxicokinetic study			Discontinued	Potassium channel blocker	CCD	Discontinued - Heart arrhythmia		Discontinued; Phase III		ASTRA AB	5916405		1995	1999
5916649	AZD0424	August 2, 2010					No Development	Src tyrosine kinase inhibitor	CCD	No Development - Solid tumor; Preclinical - Solid tumor		No Development; Preclinical		ASTRAZENECA PLC	5916649		1995	2010
5916650	AZD-0530	September 18, 2015					Phase III	Src tyrosine kinase inhibitor; Abl tyrosine kinase inhibitor	CCD	Phase III - Ovarian cancer, Metastatic colorectal cancer; Discontinued - Ovarian cancer; Phase II - Colorectal tumor, Breast cancer, Prostate cancer, Bone neoplasm, Osteosarcoma, Colorectal cancer, Pancreatic cancer, Thymic carcinoma, Endometrial cancer, Skin melanoma, Head and neck cancer, Squamous cell carcinoma, Verrucous carcinoma, Tongue cancer; Phase I - Hematological disease		Phase III; Discontinued; Phase II; Phase I		ASTRAZENECA PLC	5916650		1995	2015
5917010	ARL 67974	5/27/2002					No Development	Phospholipase A2 inhibitor	CCD	No Development - Inflammation		No Development		ASTRA LTD	5917010		1995	2002
5917557	AZD-6942	June 11, 2005		Due to a difficult synthesis process and a short half life the compound has been discontinued			Discontinued	C-C chemokine receptor 2 antagonist	CCD	Discontinued - Rheumatoid arthritis		Discontinued		ASTRAZENECA PLC	5917557		1995	2005
5916453	ZD-4190	9/22/2006		Discontinued owing to results in healthy volunteers showing that it had a very long half life in phase I trials			Discontinued	VEGFR inhibitor; Tyrosine Kinase Inhibitor	CCD	Discontinued - Solid tumor		Discontinued		ASTRAZENECA PLC	5916453		1995	2006
5917175	ZM447439	April 09, 2015					No Development	AURORA KINASE A INHIBITOR; AURORA KINASE B INHIBITOR	CCD	No Development - CANCER; Phase I - CANCER		No Development; Phase I		ASTRAZENECA PLC	5917175	JUN14_4	1995	2015
5917175	ZM447439	April 09, 2015					No Development	AURORA KINASE A INHIBITOR; AURORA KINASE B INHIBITOR	CCD	No Development - CANCER; Phase I - CANCER		No Development; Phase I		ASTRAZENECA	5917175		1995	2015
5917183	ISPRONICLINE	October 01, 2013					Phase II	Nicotinic acetylcholine receptor alpha4 beta2 partial agonist	CCD	Phase II - Alzheimer's disease, Attention deficit hyperactivity disorder, Age-associated memory impairment, Schizophrenia; Discontinued - Schizophrenia		Phase II		ASTRAZENECA PLC	5917183		1995	2013
5917885	AZD-3043	June 15, 2015					Discontinued	GABAA receptor modulator	CCD	Discontinued - Anesthesia; Phase I - Anesthesia		Discontinued; Phase I		ASTRAZENECA PLC	5917885		1995	2015
5918063	AZD-6610	December 24, 2013					Discontinued	Peroxisome proliferator-activated receptor alpha partial agonist; Peroxisome proliferator-activated receptor gamma agonist	CCD	Discontinued - Dyslipidemia; Phase I - Dyslipidemia		Discontinued; Phase I		ASTRAZENECA PLC	5918063		1995	2013
5918064	AZD-8677	December 26, 2013					Discontinued	Lipid metabolism modulator	CCD	Discontinued - Diabetes mellitus, Dyslipidemia; Phase I - Lipid metabolism disorder, Diabetes mellitus		Discontinued; Phase I		ASTRAZENECA PLC	5918064		1995	2013
5918065	AZD-2327	May 15, 2012					Discontinued	Opioid receptor delta 1  agonist	CCD	Discontinued - Anxiety, Depression; Phase I - Anxiety disorder, Major depressive disorder		Discontinued; Phase I	JAN12_3	ASTRAZENECA PLC	5918065	JAN12_3	1995	2012
5915693	ZD 0892	3/24/2004					Discontinued	Elastase inhibitor	CCD	Discontinued - Asthma, Chronic Obstructive Pulmonary Disease, Peripheral vascular disorders		Discontinued		ASTRAZENECA PLC	5915693		1995	2004
5915694	ZD 2767P	8/9/2003					Discontinued	Anticancer; Immunotoxin	CCD	Discontinued - Solid tumor, Colorectal tumor; No Development - Solid tumor		Discontinued; No Development		ASTRAZENECA	5915694		1995	2003
5915707	ARA 014418	June 15, 2015					Discontinued	Glycogen synthase kinase 3 inhibitor	CCD	Discontinued - Alzheimer's disease, Major depressive disorder; Preclinical - Alzheimer's disease, Major depressive disorder		Discontinued; Preclinical		ASTRAZENECA AB	5915707		1995	2015
5915720	ZM 226600	7/4/1999					No Development	Potassium channel agonist	CCD	No Development - Urinary incontinence		No Development		ASTRAZENECA	5915720		1995	1999
5916860	FRAKEFAMIDE	5/6/2005		Discontinued due to a lack of efficacy			Discontinued	Opioid receptor mu agonist	CCD	Discontinued - Pain		Discontinued		ASTRAZENECA PLC	5916860		1995	2005
5915729	ARM 390	6/12/2002					No Development	Opioid receptor delta agonist	CCD	No Development - Pain		No Development		ASTRAZENECA	5915729		1995	2002
5915730	ARM 434	12/18/2003					No Development	Opioid receptor delta agonist	CCD	No Development - Pain; Preclinical - Pain		No Development; Preclinical		ASTRAZENECA	5915730		1995	2003
5915731	ARR 15849	8/10/2001					No Development	Cholecystokinin A receptor agonist	CCD	No Development - Obesity		No Development		ASTRA ARCUS USA	5915731		1995	2001
5915732	ARR 17477	10/31/2005					No Development	Nitric oxide synthase inhibitor	CCD	No Development - Reperfusion injury, Inflammation, Ischemia		No Development		ASTRA ARCUS USA	5915732		1995	2005
5915732	ARR 17477	10/31/2005					No Development	Nitric oxide synthase inhibitor	CCD	No Development - Reperfusion injury, Inflammation, Ischemia		No Development		ASTRAZENECA R&D CHARNWOOD	5915732		1995	2005
